state,year,disposable_income_per_capita
Washington,2021,63662
West Virginia,2021,42939
Wisconsin,2021,53463
Wyoming,2021,53970
Alabama,2022,45879
Alaska,2022,62617
Arizona,2022,51663
Arkansas,2022,47771
California,2022,63662
Colorado,2022,65470
Connecticut,2022,69664
Delaware,2022,54846
District of Columbia,2022,80764
Florida,2022,61591
Georgia,2022,54642
Hawaii,2022,58242
Idaho,2022,53664
Illinois,2022,61591
Indiana,2022,50719
Iowa,2022,55794
Kansas,2022,58242
Kentucky,2022,50263
Louisiana,2022,55794
Maine,2022,49980
Maryland,2022,65669
Massachusetts,2022,69518
Michigan,2022,52377
Minnesota,2022,61208
Mississippi,2022,47004
Missouri,2022,53463
Montana,2022,58242
Nebraska,2022,60040
Nevada,2022,53664
New Hampshire,2022,62942
New Jersey,2022,65669
New Mexico,2022,50263
New York,2022,63662
North Carolina,2022,54899
North Dakota,2022,61958
Ohio,2022,52852
Oklahoma,2022,56004
Oregon,2022,53970
Pennsylvania,2022,58915
Rhode Island,2022,57698
South Carolina,2022,50509
South Dakota,2022,57885
Tennessee,2022,51925
Texas,2022,60040
Utah,2022,52852
Vermont,2022,52852
Virginia,2022,60040
Washington,2022,64426
West Virginia,2022,44737
Wisconsin,2022,54899
Wyoming,2022,55794
Alabama,2023,49543
Alaska,2023,66659
Arizona,2023,56770
Arkansas,2023,51548
California,2023,69536
Colorado,2023,70798
Connecticut,2023,76430
Delaware,2023,56505
District of Columbia,2023,88453
Florida,2023,64426
Georgia,2023,58242
Hawaii,2023,61591
Idaho,2023,56575
Illinois,2023,66659
Indiana,2023,54642
Iowa,2023,60591
Kansas,2023,62942
Kentucky,2023,54642
Louisiana,2023,60040
Maine,2023,53463
Maryland,2023,69518
Massachusetts,2023,70144
Michigan,2023,55794
Minnesota,2023,63662
Mississippi,2023,48915
Missouri,2023,56575
Montana,2023,60040
Nebraska,2023,61591
Nevada,2023,56575
New Hampshire,2023,65669
New Jersey,2023,69518
New Mexico,2023,52377
New York,2023,65669
North Carolina,2023,58915
North Dakota,2023,64426
Ohio,2023,55794
Oklahoma,2023,58242
Oregon,2023,56575
Pennsylvania,2023,61958
Rhode Island,2023,60040
South Carolina,2023,53664
South Dakota,2023,60040
Tennessee,2023,54899
Texas,2023,62942
Utah,2023,54899
Vermont,2023,54899
Virginia,2023,62942
Washington,2023,67462
West Virginia,2023,47004
Wisconsin,2023,58242
Wyoming,2023,55794
Alabama,2024,51997
Alaska,2024,70193
Arizona,2024,59339
Arkansas,2024,54137
California,2024,73684
Colorado,2024,73513
Connecticut,2024,80694
Delaware,2024,59650
District of Columbia,2024,92365
Florida,2024,67462
Georgia,2024,60830
Hawaii,2024,63662
Idaho,2024,58242
Illinois,2024,68888
Indiana,2024,56575
Iowa,2024,62942
Kansas,2024,65669
Kentucky,2024,56575
Louisiana,2024,62942
Maine,2024,55794
Maryland,2024,73684
Massachusetts,2024,73684
Michigan,2024,58242
Minnesota,2024,65669
Mississippi,2024,51764
Missouri,2024,58915
Montana,2024,62942
Nebraska,2024,64426
Nevada,2024,58242
New Hampshire,2024,68888
New Jersey,2024,73684
New Mexico,2024,54899
New York,2024,67462
North Carolina,2024,61208
North Dakota,2024,66827
Ohio,2024,57698
Oklahoma,2024,60591
Oregon,2024,58242
Pennsylvania,2024,64426
Rhode Island,2024,62617
South Carolina,2024,55794
South Dakota,2024,61208
Tennessee,2024,56575
Texas,2024,65669
Utah,2024,57698
Vermont,2024,56575
Virginia,2024,64426
Washington,2024,70798
West Virginia,2024,48915
Wisconsin,2024,60591
Wyoming,2024,57087
