state,year,gdp
North Carolina,2000,384115.3
North Dakota,2000,24990.2
Ohio,2000,541005.9
Oklahoma,2000,121170.2
Oregon,2000,145094.2
Pennsylvania,2000,566250.9
Rhode Island,2000,49113.6
South Carolina,2000,161880.2
South Dakota,2000,32124.9
Tennessee,2000,251030.2
Texas,2000,989904.9
Utah,2000,98648.5
Vermont,2000,24844.6
Virginia,2000,372914.1
Washington,2000,325857.6
West Virginia,2000,63364.6
Wisconsin,2000,248572
Wyoming,2000,26614.2
New England,2000,803964.8
Mideast,2000,2713231.6
Great Lakes,2000,2223891.3
Plains,2000,910542.9
Southeast,2000,3072356.4
Southwest,2000,1404915.7
Rocky Mountain,2000,447007.7
Far West,2000,2469130.3
Alabama,2001,168448.3
Alaska,2001,40014.4
Arizona,2001,230885.6
Arkansas,2001,95528.7
California,2001,1784567.7
Colorado,2001,242650.1
Connecticut,2001,236338.1
Delaware,2001,65724.8
District of Columbia,2001,96185.3
Florida,2001,714638
Georgia,2001,422731.6
Hawaii,2001,60446.4
Idaho,2001,48695.4
Illinois,2001,688404.3
Indiana,2001,273884.4
Iowa,2001,128077.5
Kansas,2001,119474.1
Kentucky,2001,161316.4
Louisiana,2001,210534.7
Maine,2001,54066.2
Maryland,2001,281053.6
Massachusetts,2001,388180.8
Michigan,2001,453301.5
Minnesota,2001,263518.7
Mississippi,2001,93515.5
Missouri,2001,260381.1
Montana,2001,32689.6
Nebraska,2001,82268.1
Nevada,2001,116267.3
New Hampshire,2001,61719.4
New Jersey,2001,509631.5
New Mexico,2001,72996.4
New York,2001,1240755.2
North Carolina,2001,387433.9
North Dakota,2001,25329.8
Ohio,2001,534612.4
Oklahoma,2001,125695.7
Oregon,2001,144486.5
Pennsylvania,2001,577677.5
Rhode Island,2001,49705.2
South Carolina,2001,162837.1
South Dakota,2001,32396.9
Tennessee,2001,250311.4
Texas,2001,1020517
Utah,2001,100244.3
Vermont,2001,25681.8
Virginia,2001,386444.7
Washington,2001,317860.6
West Virginia,2001,63599.8
Wisconsin,2001,252941.8
Wyoming,2001,28338.1
New England,2001,815552.4
Mideast,2001,2771541.7
Great Lakes,2001,2203149.1
Plains,2001,910419.4
Southeast,2001,3118856.9
Southwest,2001,1446381.5
Rocky Mountain,2001,453118.5
Far West,2001,2463451
Alabama,2002,172430.4
Alaska,2002,41904.7
Arizona,2002,238257.1
Arkansas,2002,98556.6
California,2002,1821509.5
Colorado,2002,243701.9
Connecticut,2002,234307.3
Delaware,2002,63702.5
District of Columbia,2002,99014.7
