state,year,total_crimes,property,property_burglary,violent,violent_assault,violent_murder,violent_rape,violant_robbery
Alabama,1960,1222,1035.4,355.9,186.6,138.1,12.4,8.6,27.5
Alabama,1961,1154,985.5,339.3,168.5,128.9,12.9,7.6,19.1
Alabama,1962,1224.3,1067,349.1,157.3,119,9.4,6.5,22.5
Alabama,1963,1333.6,1150.9,376.9,182.7,142.1,10.2,5.7,24.7
Alabama,1964,1571.8,1358.7,466.6,213.1,163,9.3,11.7,29.1
Alabama,1965,1592.5,1392.7,473.7,199.8,149.1,11.4,10.6,28.7
Alabama,1966,1758.3,1528,527.5,230.3,177.7,10.9,9.7,32
Alabama,1967,1851,1612.4,571.4,238.6,183.5,11.7,10.5,33
Alabama,1968,1999,1766.6,628.2,232.4,168.5,11.8,11.1,41
Alabama,1969,2126.6,1876.2,667.2,250.4,181.7,13.7,14,41
Alabama,1970,2479.5,2183.8,776.4,295.7,215.2,11.7,18.5,50.3
Alabama,1971,2498.4,2187,791.8,311.4,219.7,15.1,19,57.6
Alabama,1972,2394.5,2081.3,789.6,313.2,211.7,14.1,18.8,68.6
Alabama,1973,2582.3,2232.2,897.3,350.1,236.3,13.2,21.2,79.4
Alabama,1974,3000.1,2627.2,1057.9,372.9,235.6,15,22.7,99.6
Alabama,1975,3472.5,3079.6,1163.8,392.9,233.5,16,20.4,123
Alabama,1976,3808.3,3419.5,1170,388.8,256,15.1,21.7,96
Alabama,1977,3712.6,3298.2,1135.5,414.4,278.3,14.2,25.2,96.8
Alabama,1978,3938.8,3519.7,1229.3,419.1,281.2,13.3,25.5,99.1
Alabama,1979,4243.8,3830.5,1287.3,413.3,263.1,13.2,27.5,109.5
Alabama,1980,4933.6,4485.1,1526.7,448.5,273.2,13.2,30,132.1
Alabama,1981,4898.8,4428.3,1450.7,470.5,306.1,11.9,26.1,126.5
Alabama,1982,4633.5,4185.8,1256.2,447.7,299.1,10.6,26,112
Alabama,1983,4101,3685,1073.1,416,284.9,9.2,23.5,98.4
Alabama,1984,3902.1,3470.9,1001.8,431.2,300.6,9.4,25.1,96.1
Alabama,1985,3942.1,3484.6,1034.9,457.5,315.5,9.8,26.8,105.4
Alabama,1986,4288.3,3730.3,1159,558,407.9,10.1,28.4,111.6
Alabama,1987,4451.4,3892.2,1198.3,559.2,409.9,9.3,27.8,112.2
Alabama,1988,4561.7,4003.1,1233.8,558.6,401.2,9.9,29.8,117.8
Alabama,1989,4627.8,4037,1146.8,590.8,415.7,10.2,31,133.9
Alabama,1990,4915.3,4206.7,1103.4,708.6,520.7,11.6,32.6,143.7
Alabama,1991,5365.6,4521.4,1268.6,844.2,644.4,11.5,35.6,152.8
Alabama,1992,5268.1,4396.4,1186,871.7,654.6,11,41.2,164.9
Alabama,1993,4878.8,4098.4,1088.6,780.4,574.3,11.6,35.1,159.5
Alabama,1994,4903.1,4219.4,1044.4,683.7,465.3,11.9,35.2,171.2
Alabama,1995,4848.1,4215.7,1024.8,632.4,403.7,11.2,31.7,185.8
Alabama,1996,4820.1,4254.7,1002.1,565.4,356,10,33,167
Alabama,1997,4889.8,4325.3,1013.8,564.5,361.8,9.9,32.3,160.5
Alabama,1998,4597.1,4085,964.3,512.1,339.9,8.1,33.2,130.9
Alabama,1999,4412.5,3922.3,884.4,490.2,326.5,7.9,34.6,121.2
Alabama,2000,4545.9,4059.7,906.9,486.2,317.2,7.4,33.3,128.2
Alabama,2001,4315,3876.8,909.4,438.2,274.1,8.5,30.6,125
Alabama,2002,4472.8,4027.8,950.6,445,268,6.8,37.2,133.1
Alabama,2003,4475.6,4046.4,960.2,429.2,251.7,6.6,36.8,134.1
Alabama,2004,4456.3,4029.3,987,427,249.4,5.6,38.5,133.5
Alabama,2005,4333,3900,955.8,433,248.3,8.2,34.4,141.7
Alabama,2006,4366.2,3941,973.7,425.2,227.5,8.3,35.8,153.6
Alabama,2007,4426.6,3977.7,980.6,448.9,246.7,8.9,33.4,159.9
Alabama,2008,4537.3,4084.5,1081.3,452.8,253,7.5,34.7,157.6
Alabama,2009,4230.5,3780.4,1037.3,450.1,278.3,6.8,31.9,133.1
Alabama,2010,3911.7,3528,887.8,383.7,248,5.7,28.3,101.6
Alabama,2011,4025.2,3605.4,1064.2,419.8,282.9,6.2,28.5,102.1
Alabama,2012,3952.1,3502.2,984.7,449.9,311.8,7.1,26.9,104.1
Alabama,2013,3782.1,3351.3,877.8,430.8,285.2,7.2,42.3,96.2
Alabama,2014,3605,3177.6,819,427.4,283.4,5.7,41.3,96.9
Alabama,2015,3451.3,2978.9,725.6,472.4,328.3,7.2,42,94.9
Alabama,2016,3480.1,2947.8,700.5,532.3,388.2,8.4,39.4,96.4
Alabama,2017,3481.5,2957.3,645.7,524.2,387.8,8.3,41.6,86.5
Alabama,2018,3336.8,2817.2,590.1,519.6,387.6,7.8,40.8,83.4
Alabama,2019,3185.2,2674.4,531.9,510.8,381,7.3,42.2,80.4
Alaska,1960,1649.2,1544.9,332.1,104.3,45.1,10.2,20.8,28.3
Alaska,1961,1629.5,1540.6,380.8,88.9,51.7,11.5,13.2,12.4
Alaska,1962,1656.1,1564.6,351.6,91.5,54.5,4.5,18.7,13.8
Alaska,1963,2062.5,1952.8,381.5,109.7,66.1,6.5,14.9,22.2
Alaska,1964,2166,2016,443.6,150,96,10.4,22.4,21.2
Alaska,1965,2603.5,2454.5,554.5,149,85,6.3,17.8,39.9
Alaska,1966,2785.7,2635.3,593,150.4,82,12.9,19.5,36
Alaska,1967,2884.6,2723.9,688.6,160.7,98.2,9.6,17.6,35.3
Alaska,1968,3321,3145.5,747.3,175.5,90.6,10.5,21.7,52.7
Alaska,1969,3880.2,3658.9,870.6,221.3,113.8,10.6,29.4,67.4
Alaska,1970,3801.8,3523.8,789.9,278,167.8,12.2,26.1,71.8
Alaska,1971,4164.6,3809.3,848.6,355.3,231.3,13.4,43.5,67.1
Alaska,1972,4478.5,4108,970.8,370.5,252.6,9.5,41.8,66.5
Alaska,1973,4943.3,4558.8,1167.3,384.5,263,10,44.5,67
Alaska,1974,5239.7,4786.6,1166.8,453.1,301.8,13.6,49.3,88.4
Alaska,1975,6196.6,5656.8,1214.5,539.8,353.4,12.2,44.6,129.5
Alaska,1976,6220.7,5680.6,1218.1,540.1,357.1,11.3,46.9,124.9
Alaska,1977,5898,5454.8,1331.7,443.2,284,10.8,51.6,96.8
Alaska,1978,6046.1,5604.2,1339.2,441.9,282.1,12.9,55.6,91.3
Alaska,1979,6203.7,5712.6,1383.3,491.1,296.3,13.3,71.9,109.6
Alaska,1980,5645.7,5209.7,1259.8,436,288.5,8.9,56.8,81.8
Alaska,1981,6594.9,5979.1,1329.9,615.8,384.5,14.6,102.2,114.6
Alaska,1982,6212.5,5588.8,1188.1,623.7,386.1,18.5,85.4,133.8
Alaska,1983,6018.6,5404.8,1194.2,613.8,401.5,13.8,101.5,97.1
Alaska,1984,6115.2,5493.6,1236.8,621.6,409,11.6,91.6,109.4
Alaska,1985,5877,5295.2,1191.7,581.8,401.9,9.8,77.2,92.9
Alaska,1986,6245.9,5675.5,1161.8,570.4,401.1,8.6,72.7,88
Alaska,1987,5377.5,4922.1,970.1,455.4,307.2,10.1,65,73.1
Alaska,1988,4921.6,4398.8,842.3,522.8,386.5,5.7,57.7,72.9
Alaska,1989,4779.9,4282.2,826.9,497.7,369.3,8,52.9,67.6
Alaska,1990,5152.7,4628.2,894.3,524.5,367.4,7.5,72.9,76.7
Alaska,1991,5701.6,5087.7,979.3,613.9,401.6,7.4,91.8,113.2
Alaska,1992,5569.5,4909,880.7,660.5,445.3,7.5,98.6,109
Alaska,1993,5568,4807.2,816.9,760.8,545.6,9,83.8,122.4
Alaska,1994,5708,4941.7,800,766.3,544.9,6.3,69,146.2
Alaska,1995,5753.8,4982.9,836.9,770.9,526.3,9.1,80.3,155.1
Alaska,1996,5450.4,4722.7,843.2,727.7,537.7,7.4,65.6,117
Alaska,1997,5272.5,4571.4,702.1,701.1,519.7,8.9,66.2,106.4
Alaska,1998,4777,4123.1,667.4,653.9,492,6.7,68.6,86.6
Alaska,1999,4359.5,3728.7,611.3,630.8,447.6,8.4,83.5,91.4
Alaska,2000,4249.4,3682.5,621.9,566.9,405.1,4.3,79.3,78.2
Alaska,2001,4244.6,3655.1,607.1,589.5,423.1,6.2,79.1,81.1
Alaska,2002,4325.1,3759.7,609.2,565.4,404.4,5.1,79.7,76.2
Alaska,2003,4359.6,3761.6,597.6,598,429.9,6,93.3,68.8
Alaska,2004,4003.2,3370.9,573.6,632.3,473.9,5.6,84.8,68
Alaska,2005,4247,3615,622.8,632,465.4,4.8,81.1,81
Alaska,2006,4266.1,3578.1,620.1,688,516.7,5.4,76.4,89.5
Alaska,2007,4040.5,3379.2,546.3,661.3,490.3,6.3,79.7,85
Alaska,2008,3579.4,2927.3,471.7,652.1,489,3.9,65.1,94
Alaska,2009,3573.8,2940.4,515.4,633.4,463.2,3.1,73.4,93.6
Alaska,2010,3472.1,2836.8,434.8,635.3,473.2,4.3,74.6,83.2
Alaska,2011,3247.9,2637.8,394,610.1,466.1,4.1,60.2,79.6
Alaska,2012,3342.6,2739.4,403.3,603.2,433.2,4.1,79.7,86.1
Alaska,2013,3525.6,2885.2,396.7,640.4,425.5,4.6,125.4,84.9
Alaska,2014,3395.8,2760,427.6,635.8,440.2,5.6,104.7,85.4
Alaska,2015,3547.8,2817.6,475.5,730.2,497.1,8,122,103.1
Alaska,2016,4157.2,3353,546.3,804.2,540.6,7,141.9,114.6
Alaska,2017,4371.1,3542.1,563.8,829,575.4,8.4,116.7,128.5
Alaska,2018,4185.5,3300.5,539.6,885,595.4,6.4,161.6,121.5
Alaska,2019,3777.9,2910.8,487.1,867.1,596,9.4,148.7,112.9
Arizona,1960,3013.7,2806,685.5,207.7,131.4,6,16.1,54.2
Arizona,1961,3133.9,2969.4,737.7,164.5,87.6,6,14.4,56.5
Arizona,1962,3201.1,3028.1,774.9,173,97.7,5.7,13.1,56.4
Arizona,1963,3394.6,3200.4,830.3,194.2,116.4,6,14.2,57.5
Arizona,1964,3645.3,3432.3,868.2,213,130.2,5.2,16.4,61.2
Arizona,1965,3547.8,3355.5,816.5,192.3,113.9,5,17.8,55.7
Arizona,1966,4135.8,3933.6,931.1,202.2,122.4,6.1,18.3,55.5
Arizona,1967,4838,4599.8,1137.3,238.2,141,5.6,16.7,74.9
Arizona,1968,4874.4,4610.8,1167.4,263.6,151.9,6.3,18.7,86.7
Arizona,1969,5224.6,4885.4,1302.6,339.2,210.2,6,23,99.9
Arizona,1970,5914.2,5543.9,1493,370.3,213.7,9.5,27,120.2
Arizona,1971,5941.5,5540.9,1435.9,400.6,250.7,6.7,29.9,113.3
Arizona,1972,5933.3,5484.4,1615.9,448.9,287.4,7.3,33.4,120.8
Arizona,1973,6703.9,6224,1958.3,479.9,293.6,8.1,31,147.3
Arizona,1974,8221.6,7654.9,2534,566.7,315.5,9.6,37.5,204.2
Arizona,1975,8341.5,7793.7,2529.9,547.8,333.8,8.6,35.5,170
Arizona,1976,7886.4,7431.1,2366.6,455.3,287.9,7.8,29.7,129.9
Arizona,1977,7747.2,7253,2346.1,494.2,312.3,9.5,34.2,138.2
Arizona,1978,7603.8,7051.7,2082.5,552.1,335.6,9.4,44.2,162.9
Arizona,1979,7857.4,7264.4,1996.6,593,362.6,8.9,45.7,175.7
Arizona,1980,8170.8,7519.9,2155.4,650.9,401.8,10.3,45.2,193.6
Arizona,1981,7613.9,7038.1,2064.3,575.8,352,8.1,38.1,177.6
Arizona,1982,7131,6614,1883.3,517,311.6,8.3,38.5,158.6
Arizona,1983,6391.6,5897.4,1668.6,494.2,312.7,7.2,41.9,132.4
Arizona,1984,6499.4,5983.3,1714,516.1,334.1,7.8,43.1,131.1
Arizona,1985,7116.2,6513.7,1869.6,602.5,402.3,8,45.7,146.5
Arizona,1986,7321.4,6663.1,1907.7,658.3,436.8,9.3,43,169.2
Arizona,1987,7188.6,6576,1626.1,612.6,425.5,7.5,41.2,138.4
Arizona,1988,7471.3,6861.2,1580.3,610.1,425.8,8.5,38.8,137
Arizona,1989,8059.8,7460.2,1667.2,599.6,417.7,6.7,36.2,139
Arizona,1990,7888.8,7236.4,1669.9,652.4,442.8,7.7,40.9,160.9
Arizona,1991,7405.6,6734.9,1607.5,670.7,454.8,7.8,42.4,165.7
Arizona,1992,7028.6,6357.8,1411.7,670.8,466.6,8.1,43,153.1
Arizona,1993,7431.7,6716.7,1465.5,715,505.7,8.6,37.8,162.9
Arizona,1994,7924.5,7221.4,1476.2,703.1,494.7,10.5,36,162
Arizona,1995,8213.6,7500.1,1416.8,713.5,495.7,10.4,33.6,173.8
Arizona,1996,7067,6435.5,1256.3,631.5,424,8.5,31.2,167.8
Arizona,1997,7195,6571.3,1318.9,623.7,417.1,8.2,32.8,165.7
Arizona,1998,6574.9,5997,1209.5,577.9,373.6,8.1,31.1,165.2
Arizona,1999,5896.1,5345,1034.3,551.1,361.6,8,28.9,152.5
Arizona,2000,5829.5,5297.8,1011.6,531.7,347.7,7,30.7,146.3
Arizona,2001,6077.8,5537.5,1033,540.3,337.1,7.5,28.6,167.1
Arizona,2002,6404.3,5849.8,1085.9,554.5,370.8,7.1,29.6,147
Arizona,2003,6147.3,5634,1050.6,513.3,335.6,7.9,33.3,136.6
Arizona,2004,5577.7,5073.3,991,504.4,329.6,7.2,33,134.5
Arizona,2005,5339,4827,946.2,512,326.7,7.5,33.7,144.1
Arizona,2006,5316.7,4774.1,963.6,542.6,340.3,8.6,39.7,153.9
Arizona,2007,5050.6,4532.6,946.4,518,318.2,8.6,37.1,154
Arizona,2008,4587.8,4102.2,901.6,485.6,293.8,7.1,33.8,150.9
Arizona,2009,4015.5,3589,823.4,426.5,261.8,5.8,34.6,124.3
Arizona,2010,3950.1,3536.5,794.2,413.6,264.7,6.4,34.2,108.4
Arizona,2011,3968.9,3554.7,845.7,414.2,259,6.1,38.6,110.5
Arizona,2012,3968.1,3539.2,807.8,428.9,276,5.5,34.7,112.7
Arizona,2013,3815.6,3399.1,732.4,416.5,263.9,5.4,46,101.1
Arizona,2014,3597.4,3197.5,647.1,399.9,252.1,4.7,50.2,92.8
Arizona,2015,3443.4,3033.2,555.9,410.2,267.1,4.5,45.5,93.1
Arizona,2016,3448.5,2978.4,544.4,470.1,315.4,5.5,47.5,101.8
Arizona,2017,3422.9,2914.9,536.3,508,345,5.9,51,106
Arizona,2018,3151.7,2676.8,439.7,474.9,328.1,5.1,50.7,91
Arizona,2019,2895.8,2440.5,394.3,455.3,311.9,5,50.3,88.1
Arkansas,1960,1034.1,926.4,302.2,107.7,65.5,8.5,8.9,24.8
Arkansas,1961,1037.6,936.9,308.1,100.7,59.5,9.1,7.2,24.8
Arkansas,1962,1089.7,998.3,311.7,91.4,54.8,7.9,6.8,21.9
Arkansas,1963,1180.9,1073.7,327.6,107.2,68.6,7.4,6.1,25.1
Arkansas,1964,1359.2,1222.6,369.1,136.6,91.7,7.6,8.1,29.2
Arkansas,1965,1274.2,1138.4,323.7,135.8,95.9,5.9,10.4,23.7
Arkansas,1966,1382.8,1219.9,360.3,162.9,116.6,7.1,9.8,29.4
Arkansas,1967,1628.4,1408.9,443.9,219.5,161.3,8.8,14.2,35.2
Arkansas,1968,1958.5,1741.8,569.7,216.7,151.7,8.1,17.3,39.6
Arkansas,1969,2188.6,1968.5,651.1,220.1,148.4,9.9,17.4,44.4
Arkansas,1970,2421.1,2198.8,759.4,222.3,149.5,10.1,17.1,45.6
Arkansas,1971,2328.2,2087.5,720.9,240.7,164.5,10.5,17.1,48.7
Arkansas,1972,2352.4,2107.7,735.1,244.7,162.2,10.4,17.3,54.8
Arkansas,1973,2756.5,2466.6,888,289.9,190,8.8,19.5,71.5
Arkansas,1974,3300.6,2984.4,1075.2,316.2,200.5,11.2,23.9,80.7
Arkansas,1975,3540.2,3191.9,1077.1,348.3,224.7,10.1,25.9,87.6
Arkansas,1976,3406.7,3102.8,937.5,303.9,192.9,10.1,24.2,76.7
Arkansas,1977,3341,3018.1,972.6,322.9,203.4,8.8,27.6,83.2
Arkansas,1978,3461.7,3117.6,967.1,344.1,231.9,9.1,23.1,80
Arkansas,1979,3620.7,3254.5,984.3,366.2,255.3,9.1,27.3,74.6
Arkansas,1980,3811.1,3475.9,1119,335.2,218.4,9.2,26.7,80.9
Arkansas,1981,3796.4,3486.1,1078.1,310.3,198.6,9.1,25.2,77.4
Arkansas,1982,3871.6,3546.9,1071.5,324.7,210.6,8.2,27.1,78.8
Arkansas,1983,3500.6,3202.9,961.3,297.7,195.5,7.6,25.2,69.3
Arkansas,1984,3367.5,3046.1,885.9,321.4,216.6,7.5,29.7,67.6
Arkansas,1985,3585.1,3237.5,941.4,347.6,242,7.9,29.1,68.5
Arkansas,1986,3924.7,3529.9,1029.9,394.8,278.2,8.1,28.9,79.7
Arkansas,1987,4245.2,3833.2,1078,412,292.6,7.6,32.6,79.1
Arkansas,1988,4219.6,3796.9,1091.8,422.7,297.6,8.7,32.2,84.1
Arkansas,1989,4555.7,4082,1194.4,473.7,316.3,8.4,38.4,110.6
Arkansas,1990,4866.9,4334.7,1210.9,532.2,365.4,10.3,43.3,113.2
Arkansas,1991,5175,4581.7,1226.5,593.3,401.9,11.1,44.6,135.6
Arkansas,1992,4761.7,4185.2,1092.7,576.5,399,10.8,41.3,125.5
Arkansas,1993,4810.8,4217.5,1099.3,593.3,415.8,10.2,42.4,124.9
Arkansas,1994,4798.7,4203.6,1097.1,595.1,412.5,12,41.9,128.7
Arkansas,1995,4690.9,4137.7,996.9,553.2,379.8,10.4,37.2,125.7
Arkansas,1996,4699.2,4174.9,953.2,524.3,359.8,8.7,41.7,114.1
Arkansas,1997,4718.7,4191.8,1013.4,526.9,361.9,9.9,43.5,111.5
Arkansas,1998,4283.4,3793.2,928.3,490.2,350.9,7.9,35.2,96.2
Arkansas,1999,4042.2,3617,850.2,425.2,312.4,5.6,27.8,79.3
Arkansas,2000,4115.3,3670,802.1,445.3,332.4,6.3,31.7,74.8
Arkansas,2001,4130.2,3677.8,823.7,452.4,332.8,5.5,33.1,80.9
Arkansas,2002,4163.4,3738.4,858.3,425,298.6,5.2,27.9,93.3
Arkansas,2003,4088.8,3632.4,917.1,456.4,334.7,6.6,33.4,81.6
Arkansas,2004,4535.4,4033.1,1096.4,502.3,366.7,6.4,43,86.3
Arkansas,2005,4596,4068,1085.1,528,387.2,6.8,43.3,91.2
Arkansas,2006,4538.2,3985.4,1133.6,552.8,400.6,7.3,47.1,97.8
Arkansas,2007,4492.6,3955.5,1130.1,537.1,374.9,7,45.6,109.5
Arkansas,2008,4378,3865,1187.6,513,358.8,5.8,51.2,97.3
Arkansas,2009,4290.8,3775,1202.8,515.8,372.8,6.2,47.7,89.2
Arkansas,2010,4057,3553.5,1111.1,503.5,372.6,4.6,45.2,81.1
Arkansas,2011,4240.2,3757.9,1157.6,482.3,354.8,5.4,41.9,80.2
Arkansas,2012,4129.2,3660.1,1081.3,469.1,342.3,5.9,42.3,78.7
Arkansas,2013,4062.9,3602.6,1030.1,460.3,330.5,5.4,48.1,76.3
Arkansas,2014,3818.1,3338,835.7,480.1,346,5.6,59.4,69.1
Arkansas,2015,3772.8,3251.5,760.2,521.3,380,6.1,64.8,70.4
Arkansas,2016,3819.5,3268.6,795.5,550.9,401,7.2,71.7,70.9
Arkansas,2017,3633.5,3078.6,727.7,554.9,413.6,8.6,68.3,64.4
Arkansas,2018,3456.6,2913,636.8,543.6,410.7,7.2,72.9,52.9
Arkansas,2019,3442.6,2858,599.6,584.6,447.8,8,77.2,51.6
California,1960,3474.4,3235.4,910.5,239,119.6,3.9,18.2,97.3
California,1961,3410.2,3177.5,894.2,232.7,120,3.7,18.5,90.5
California,1962,3561,3326.2,934.1,234.8,121.7,3.9,17.4,91.9
California,1963,3787,3545.8,998.9,241.2,126.3,3.8,17.5,93.6
California,1964,4139.9,3874.3,1088.7,265.6,138.2,4.1,20,103.2
California,1965,4319.4,4037.2,1209.6,282.2,142.9,4.7,21.2,113.3
California,1966,4549.4,4244.3,1277.4,305.1,159.1,4.6,23.4,118
California,1967,5055.1,4703,1446,352.1,172.7,5.4,25,149
California,1968,5721.1,5298.2,1644.5,422.9,194.6,6,29.9,192.5
California,1969,6099.7,5637.4,1676.1,462.3,217,7.1,36.3,201.8
California,1970,6339.1,5864.3,1753,474.8,225.9,6.9,35.1,206.9
California,1971,6690.1,6171.5,1939.8,518.6,238.9,8.1,36.1,235.5
California,1972,6413.1,5872.4,1949.2,540.7,253.7,8.8,39.7,238.6
California,1973,6304.9,5739.1,1979.6,565.8,275.8,9,40.6,240.4
California,1974,6846.8,6236.2,2072,610.6,307.8,9.5,40.6,252.7
California,1975,7204.6,6549.2,2217.3,655.4,321,10.4,41.6,282.4
California,1976,7234,6564.7,2174.6,669.3,338.7,10.3,44.7,275.6
California,1977,7008.7,6302.7,2139.4,706,358,11.5,49.4,287
California,1978,7116.2,6373.3,2193.3,742.9,374.4,11.7,50.8,306.1
California,1979,7468.8,6657.7,2186.8,811.1,410.3,13,53.9,333.8
California,1980,7833.1,6939.5,2316.5,893.6,436.7,14.5,58.2,384.2
California,1981,7590.5,6727.5,2238.5,863,405.6,13,56.2,388.2
California,1982,7285.4,6470.7,2020.2,814.7,380.7,11.2,50.7,372.1
California,1983,6677.5,5904.9,1829.1,772.6,373.1,10.5,48,340.9
California,1984,6468.4,5705,1729.3,763.4,379.5,10.6,45.7,327.5
California,1985,6518,5752.7,1701.1,765.3,383.8,10.5,43.3,327.7
California,1986,6762.8,5842.3,1696.4,920.5,521.5,11.3,44.9,342.9
California,1987,6506.4,5588.4,1518.2,918,562.4,10.6,43.8,301.3
California,1988,6635.5,5705.7,1447.1,929.8,571.8,10.4,41.8,305.8
California,1989,6763.5,5785.8,1412.3,977.7,593.8,10.9,41.2,331.8
California,1990,6603.6,5558.4,1345.4,1045.2,613.6,11.9,42.6,377
California,1991,6772.6,5682.7,1397.8,1089.9,623.5,12.7,42.4,411.3
California,1992,6679.5,5559.8,1384.9,1119.7,641.6,12.7,41.3,424.1
California,1993,6456.9,5379.1,1327,1077.8,621.8,13.1,37.7,405.1
California,1994,6173.8,5160.8,1222.5,1013,609.4,11.8,34.9,356.8
California,1995,5831.1,4865.1,1120.3,966,590.3,11.2,33.4,331.2
California,1996,5207.8,4345.1,979.4,862.7,525.8,9.1,32.1,295.6
California,1997,4865.4,4067.1,927.4,798.3,506.2,8,31.6,252.5
California,1998,4342.8,3639.1,823.5,703.7,456.6,6.6,29.9,210.6
California,1999,3805,3177.8,675.3,627.2,411.7,6,28.2,181.1
California,2000,3739.8,3118.2,656.3,621.6,408.7,6.1,28.9,177.9
California,2001,3893.2,3278,671.3,615.2,393.3,6.4,28.8,186.7
California,2002,3956.6,3361.2,681.2,595.4,373.8,6.8,29.1,185.6
California,2003,4006,3426.4,683.2,579.6,364.8,6.8,28.2,179.8
California,2004,3951.7,3423.9,686.1,527.8,322,6.7,26.8,172.3
California,2005,3847,3321,692.9,526,317.1,6.9,26,176
California,2006,3715.2,3181.7,678.1,533.5,306.2,6.8,25.3,195.1
California,2007,3567.6,3043.5,650.7,524.1,299.7,6.2,24.7,193.4
California,2008,3445.2,2941,647,504.2,285.4,5.8,24.2,188.8
California,2009,3204.3,2731,622.8,473.3,271,5.3,23.6,173.4
California,2010,3069.5,2629.9,612.9,439.6,256.8,4.8,22.3,155.6
California,2011,2995.4,2584.2,610.5,411.2,242,4.8,20.3,144.1
California,2012,3181.8,2758.7,646.1,423.1,248.9,5,20.6,148.6
California,2013,3060.2,2658.1,605.4,402.1,232.3,4.6,25.3,139.9
California,2014,2837.2,2441.1,522.3,396.1,236.6,4.4,29.7,125.5
California,2015,3044.6,2618.3,504.3,426.3,253.8,4.8,32.7,135
California,2016,2998.3,2553,479.8,445.3,265.9,4.9,34.9,139.6
California,2017,2946,2496.7,446.9,449.3,264.2,4.6,37.2,143.2
California,2018,2827.8,2380.4,416.2,447.4,266.5,4.4,39.2,137.3
California,2019,2772.4,2331.2,386.1,441.2,267.1,4.3,37.5,132.4
Colorado,1960,2172.4,2035.1,569.9,137.3,42.4,4.2,13.1,77.7
Colorado,1961,2404,2254.7,655.9,149.3,40,4.7,12.9,91.7
Colorado,1962,2667.1,2510.3,681.1,156.8,51.8,5,14.8,85.2
Colorado,1963,2660.8,2530.5,670.5,130.3,42.6,4.8,14.5,68.3
Colorado,1964,2728.7,2570.1,679.9,158.6,70.1,4.2,17.1,67.3
Colorado,1965,2704.5,2551.8,650.9,152.7,78.6,3.5,16.2,54.5
Colorado,1966,3009.6,2840.7,711,168.9,93.8,4,17.3,53.8
Colorado,1967,3309,3117.2,789.4,191.8,98.9,4.1,20.9,67.9
Colorado,1968,3862.6,3599.6,917,263,135,5.4,26.1,96.5
Colorado,1969,4498.2,4199.4,1133.2,298.8,154,5.3,28.8,110.7
Colorado,1970,5318.1,4961.4,1380.9,356.7,185.4,6.2,36,129.1
Colorado,1971,5516.9,5143.3,1450,373.6,193.8,6.5,38.4,134.9
Colorado,1972,5593.6,5188.2,1580.1,405.4,217.3,8.3,38.4,141.4
Colorado,1973,5495.9,5081.9,1598.8,414,204.4,7.9,38.7,162.9
Colorado,1974,6165.8,5736,1843.1,429.8,221.6,6,36.5,165.7
Colorado,1975,6675.5,6212.4,2001.2,463.1,240.1,7.4,41.5,174.1
Colorado,1976,6782.4,6365.4,1879.9,417,236.7,6.8,33.8,139.7
Colorado,1977,6827.5,6315.6,1935.2,511.9,292.9,6.3,42,170.7
Colorado,1978,6832.5,6334.5,1869.6,498,281.9,7.3,49.6,159.2
Colorado,1979,7051.1,6529,1794.4,522.1,306.1,5.8,53.1,157
Colorado,1980,7333.5,6804.9,2030.8,528.6,309.2,6.9,52.5,160.1
Colorado,1981,7353.1,6821.4,2031.6,531.7,318.5,8.1,45.6,159.5
Colorado,1982,7079.9,6575.7,1749.1,504.2,303.1,6,44.5,150.6
Colorado,1983,6627.1,6150.7,1532.4,476.4,301.7,6.4,41.9,126.4
Colorado,1984,6471.1,6013.3,1561.3,457.8,299,5.8,39,114
Colorado,1985,6919,6448,1748.1,471,300.1,5.8,40.9,124.2
Colorado,1986,7031.9,6508.3,1791.6,523.6,329.4,7,42.3,144.8
Colorado,1987,6451.3,5983.8,1534.6,467.5,302.1,5.8,40.8,118.8
Colorado,1988,6178.3,5705.7,1383.1,472.6,329.5,5.7,38.6,98.8
Colorado,1989,6039.4,5568,1250.4,471.4,340.8,4.4,36.2,90
Colorado,1990,6053.8,5527.8,1208.8,526,385,4.2,46.2,90.6
Colorado,1991,6074.1,5514.8,1158.3,559.3,398.9,5.9,47,107.4
Colorado,1992,5958.7,5379.9,1090.9,578.8,404.9,6.2,47.3,120.5
Colorado,1993,5526.8,4959.5,1009.8,567.3,399,5.8,45.8,116.7
Colorado,1994,5318.4,4808.8,925.7,509.6,354,5.4,43.2,106.9
Colorado,1995,5396.3,4956.1,934.1,440.2,298.7,5.8,39.5,96.2
Colorado,1996,5118.5,4714,900.8,404.5,255.4,4.7,46.2,98.2
Colorado,1997,4650.4,4287.2,796.1,363.2,232.8,4,43.1,83.3
Colorado,1998,4487.4,4109.5,786.5,377.9,244.4,4.6,47.4,81.5
Colorado,1999,4063.3,3722.8,665.1,340.5,219.2,4.6,41.4,75.3
Colorado,2000,3982.6,3648.6,630.8,334,219.1,3.1,41.2,70.5
Colorado,2001,4206.2,3856.6,643.9,349.6,222.3,3.6,43.6,80.2
Colorado,2002,4353.2,4000.3,703.8,352.9,223.5,4,45.9,79.5
Colorado,2003,4298.1,3951.6,712.3,346.5,218.2,4.1,42.1,82.2
Colorado,2004,4290.5,3918.5,717.3,372,244.2,4.4,42.3,81.3
